"Comparative","Descriptive Review","EU Report","Experimental","Experimental Field","Experimental Isolator","Experimental Lab","Experimental Stable","Field","Manufacturer Claim","Meta-analysis","Observational","Other","Prevalence","Questionairre","Retrospective","Retrospective cohort","Review","Seroprevalence","Survey","Systematic Review","WOAH Technical Disease Card","NA"
90,13,0,87,0,0,0,0,0,7,8,0,0,0,0,0,0,41,0,0,111,0,42
64,12,0,79,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,101,0,33
0,16,0,0,1,0,18,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,3,0,0,1,2,0,1,2,37,31,0,0,7
0,0,0,48,14,0,2,16,142,0,0,91,19,0,0,0,0,34,0,0,0,0,35
0,0,0,30,19,0,2,64,131,0,0,147,45,0,0,0,0,33,0,0,0,0,14
0,0,0,29,10,0,0,21,62,0,0,28,2,0,0,0,0,48,0,0,0,0,3
0,0,0,29,5,0,0,6,29,0,3,9,0,0,0,0,0,41,0,0,0,0,4
0,0,0,4,17,0,7,10,0,0,0,34,5,0,0,0,0,21,0,6,0,0,19
0,0,0,0,12,0,0,28,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,3,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2
0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
