"All","Comparative","Cross-sectional","Descriptive Review","EU Report","Experimental","Experimental Field","Experimental Isolator","Experimental Lab","Experimental Stable","Faecal Culture","Field","Government Report (Wales)","IgA","IgG","IgM","Manufacturer Claim","Meta-analysis","Observational","Other","Prevalence","Prevalence (PCR)","Questionairre","Retrospective","Retrospective cohort","Review","Seroprevalence","Survey","Survey of veterinarians - estimate from 515 veterinarians across 11 European countries","Systematic Review","WOAH Technical Disease Card","meat juice","NA","pathogen"
1,2,0,1,0,0,0,0,1,7,0,0,0,1,3,3,2,0,66,0,0,0,0,0,0,58,3,83,0,0,0,1,16,"Hepatitis E"
0,39,0,0,0,142,40,0,1,43,0,0,0,0,0,0,0,11,4,17,0,0,0,0,0,3,0,0,0,0,0,0,0,"E. coli"
0,30,0,1,1,3,0,0,1,0,0,0,2,0,0,0,0,1,13,0,1,0,0,1,1,106,1,6,0,0,0,0,9,"Bovine Tuberculosis"
0,19,0,3,0,9,0,0,3,3,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,77,0,0,0,0,0,0,36,"African Swine Fever"
0,15,0,1,0,2,4,0,10,5,0,0,0,0,0,0,0,0,9,43,0,0,0,0,0,15,6,4,2,0,0,0,4,"PRRS"
0,12,0,19,0,135,0,1,0,0,0,397,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Avian Influenza"
0,8,0,0,0,2,0,0,3,0,12,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,18,1,0,0,0,0,11,"Salmonella"
0,7,0,8,0,3,0,0,1,47,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"Foot and Mouth Disease"
0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,2,0,0,0,0,1,0,5,"Peste des Petits Ruminants"
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,"Bluetongue"
0,5,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,1,0,16,0,0,0,0,31,"Campylobacter"
0,4,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2,9,1,0,0,0,0,0,"Bovine Respiratory Syncytial Virus"
0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,6,7,0,0,0,0,0,19,"Bovine Viral Diarrhoea Virus"
0,0,0,3,0,0,11,0,1,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,2,3,4,0,212,0,0,4,"Paratuberculosis"
0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,9,"Infectious Bovine Rhinotracheitis"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,"Contagious agalactia"
0,0,0,0,0,7,18,0,2,38,0,0,0,0,0,0,0,3,31,0,0,1,0,0,0,2,0,3,0,0,0,0,4,"Swine Influenza"
0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,10,9,0,0,0,0,7,"Coxiella burnetii"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,17,0,0,0,0,0,0,6,"Classical Swine Fever"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Multiple"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S. aureus"
